"","Period","County","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW"
"313","2009-2010","Bronx",2009-11-14,121,0,0,0,0
"314","2009-2010","Broome",2009-11-14,117,0,0,0,0
"315","2009-2010","Cattaraugus",2009-11-14,41,0,0,0,0
"316","2009-2010","Cayuga",2009-11-14,12,0,0,0,0
"317","2009-2010","Chautauqua",2009-11-14,53,0,0,0,0
"318","2009-2010","Chemung",2009-11-14,16,0,0,0,0
"319","2009-2010","Chenango",2009-11-14,31,0,0,0,0
"320","2009-2010","Clinton",2009-11-14,5,0,0,0,0
"321","2009-2010","Columbia",2009-11-14,17,0,0,0,0
"322","2009-2010","Cortland",2009-11-14,2,0,0,0,0
"323","2009-2010","Delaware",2009-11-14,22,0,0,0,0
"324","2009-2010","Dutchess",2009-11-14,119,0,0,0,0
"325","2009-2010","Erie",2009-11-14,176,0,0,0,0
"326","2009-2010","Essex",2009-11-14,2,0,0,0,0
"327","2009-2010","Franklin",2009-11-14,26,0,0,0,0
"328","2009-2010","Fulton",2009-11-14,10,0,0,0,0
"329","2009-2010","Genesee",2009-11-14,14,0,0,0,0
"330","2009-2010","Greene",2009-11-14,10,0,0,0,0
"331","2009-2010","Hamilton",2009-11-14,0,0,0,0,0
"332","2009-2010","Herkimer",2009-11-14,17,0,0,0,0
"333","2009-2010","Jefferson",2009-11-14,12,0,0,0,0
"334","2009-2010","Kings",2009-11-14,116,0,0,0,0
"335","2009-2010","Lewis",2009-11-14,9,0,0,0,0
"336","2009-2010","Livingston",2009-11-14,24,0,0,0,0
"337","2009-2010","Madison",2009-11-14,17,0,0,0,0
"338","2009-2010","Monroe",2009-11-14,436,0,0,0,0
"339","2009-2010","Montgomery",2009-11-14,4,0,0,0,0
"340","2009-2010","Nassau",2009-11-14,572,0,0,0,0
"341","2009-2010","New york",2009-11-14,180,0,0,0,0
"342","2009-2010","Niagara",2009-11-14,20,0,0,0,0
"343","2009-2010","Oneida",2009-11-14,114,0,0,0,0
"344","2009-2010","Onondaga",2009-11-14,91,0,0,0,0
"345","2009-2010","Ontario",2009-11-14,57,0,0,0,0
"346","2009-2010","Orange",2009-11-14,54,0,0,0,0
"347","2009-2010","Orleans",2009-11-14,10,0,0,0,0
"348","2009-2010","Oswego",2009-11-14,77,0,0,0,0
"349","2009-2010","Otsego",2009-11-14,18,0,0,0,0
"350","2009-2010","Putnam",2009-11-14,126,0,0,0,0
"351","2009-2010","Queens",2009-11-14,201,0,0,0,0
"352","2009-2010","Rensselaer",2009-11-14,30,0,0,0,0
"353","2009-2010","Richmond",2009-11-14,77,0,0,0,0
"354","2009-2010","Rockland",2009-11-14,28,0,0,0,0
"355","2009-2010","Saratoga",2009-11-14,20,0,0,0,0
"356","2009-2010","Schenectady",2009-11-14,31,0,0,0,0
"357","2009-2010","Schoharie",2009-11-14,3,0,0,0,0
"358","2009-2010","Schuyler",2009-11-14,1,0,0,0,0
"359","2009-2010","Seneca",2009-11-14,4,0,0,0,0
"361","2009-2010","Steuben",2009-11-14,39,0,0,0,0
"360","2009-2010","St lawrence",2009-11-14,44,0,0,0,0
"362","2009-2010","Suffolk",2009-11-14,744,0,0,0,0
"363","2009-2010","Sullivan",2009-11-14,34,0,0,0,0
"364","2009-2010","Tioga",2009-11-14,9,0,0,0,0
"365","2009-2010","Tompkins",2009-11-14,8,0,0,0,0
"366","2009-2010","Ulster",2009-11-14,59,0,0,0,0
"367","2009-2010","Warren",2009-11-14,11,0,0,0,0
"368","2009-2010","Washington",2009-11-14,6,0,0,0,0
"369","2009-2010","Wayne",2009-11-14,56,0,0,0,0
"370","2009-2010","Westchester",2009-11-14,201,0,0,0,0
"371","2009-2010","Wyoming",2009-11-14,6,0,0,0,0
"372","2009-2010","Yates",2009-11-14,4,0,0,0,0
"373","2009-2010","Albany",2009-11-21,29,0,0,0,0
"374","2009-2010","Allegany",2009-11-21,7,0,0,0,0
"375","2009-2010","Bronx",2009-11-21,113,0,0,0,0
"376","2009-2010","Broome",2009-11-21,46,0,0,0,0
"377","2009-2010","Cattaraugus",2009-11-21,13,0,0,0,0
"378","2009-2010","Cayuga",2009-11-21,9,0,0,0,0
"379","2009-2010","Chautauqua",2009-11-21,24,0,0,0,0
"380","2009-2010","Chemung",2009-11-21,7,0,0,0,0
"381","2009-2010","Chenango",2009-11-21,19,0,0,0,0
"382","2009-2010","Clinton",2009-11-21,20,0,0,0,0
"383","2009-2010","Columbia",2009-11-21,8,0,0,0,0
"384","2009-2010","Cortland",2009-11-21,5,0,0,0,0
"385","2009-2010","Delaware",2009-11-21,11,0,0,0,0
"386","2009-2010","Dutchess",2009-11-21,80,0,0,0,0
"387","2009-2010","Erie",2009-11-21,89,0,0,0,0
"388","2009-2010","Essex",2009-11-21,2,0,0,0,0
"389","2009-2010","Franklin",2009-11-21,11,0,0,0,0
"390","2009-2010","Fulton",2009-11-21,3,0,0,0,0
"391","2009-2010","Genesee",2009-11-21,5,0,0,0,0
"392","2009-2010","Greene",2009-11-21,5,0,0,0,0
"393","2009-2010","Hamilton",2009-11-21,1,0,0,0,0
"394","2009-2010","Herkimer",2009-11-21,5,0,0,0,0
"395","2009-2010","Jefferson",2009-11-21,7,0,0,0,0
"396","2009-2010","Kings",2009-11-21,92,0,0,0,0
"397","2009-2010","Lewis",2009-11-21,1,0,0,0,0
"398","2009-2010","Livingston",2009-11-21,10,0,0,0,0
"399","2009-2010","Madison",2009-11-21,5,0,0,0,0
"400","2009-2010","Monroe",2009-11-21,166,0,0,0,0
"401","2009-2010","Montgomery",2009-11-21,6,0,0,0,0
"402","2009-2010","Nassau",2009-11-21,434,0,0,0,0
"403","2009-2010","New york",2009-11-21,150,0,0,0,0
"404","2009-2010","Niagara",2009-11-21,6,0,0,0,0
"405","2009-2010","Oneida",2009-11-21,49,0,0,0,0
"406","2009-2010","Onondaga",2009-11-21,59,0,0,0,0
"407","2009-2010","Ontario",2009-11-21,29,0,0,0,0
"408","2009-2010","Orange",2009-11-21,36,0,0,0,0
"409","2009-2010","Orleans",2009-11-21,7,0,0,0,0
"410","2009-2010","Oswego",2009-11-21,38,0,0,0,0
"411","2009-2010","Otsego",2009-11-21,8,0,0,0,0
"412","2009-2010","Putnam",2009-11-21,71,0,0,0,0
"413","2009-2010","Queens",2009-11-21,217,0,0,0,0
"414","2009-2010","Rensselaer",2009-11-21,19,0,0,0,0
"415","2009-2010","Richmond",2009-11-21,106,0,0,0,0
"416","2009-2010","Rockland",2009-11-21,35,0,0,0,0
"417","2009-2010","Saratoga",2009-11-21,19,0,0,0,0
"418","2009-2010","Schenectady",2009-11-21,11,0,0,0,0
"419","2009-2010","Schoharie",2009-11-21,6,0,0,0,0
"420","2009-2010","Schuyler",2009-11-21,3,0,0,0,0
"421","2009-2010","Seneca",2009-11-21,1,0,0,0,0
"423","2009-2010","Steuben",2009-11-21,6,0,0,0,0
"422","2009-2010","St lawrence",2009-11-21,20,0,0,0,0
"424","2009-2010","Suffolk",2009-11-21,662,0,0,0,0
"425","2009-2010","Sullivan",2009-11-21,9,0,0,0,0
"426","2009-2010","Tioga",2009-11-21,5,0,0,0,0
"427","2009-2010","Tompkins",2009-11-21,10,0,0,0,0
"428","2009-2010","Ulster",2009-11-21,38,0,0,0,0
"429","2009-2010","Warren",2009-11-21,7,0,0,0,0
"430","2009-2010","Washington",2009-11-21,2,0,0,0,0
"431","2009-2010","Wayne",2009-11-21,24,0,0,0,0
